edges
"(9910127, 9305005)"
"(9803249, 9703113)"
"(9909133, 9808141)"
"(9904064, 9603156)"
"(9705139, 9312036)"
"(9511098, 9201020)"
"(9710105, 9605132)"
"(9708163, 9310132)"
"(9910071, 9704021)"
"(9403132, 9307035)"
"(9508122, 9306028)"
"(9605012, 9404186)"
"(9805198, 9506033)"
"(9704043, 9608063)"
"(9708163, 9510026)"
"(9912107, 9503101)"
"(9711061, 9310083)"
"(9707148, 9503044)"
"(9804029, 9508045)"
"(9812217, 9806211)"
"(9610037, 9503079)"
"(9910119, 9607234)"
"(9902126, 9403132)"
"(9306079, 9203037)"
"(9806211, 9611052)"
"(9601135, 9505026)"
"(9909059, 9508045)"
"(9601050, 9404186)"
"(9608057, 9506149)"
"(9512210, 9506149)"
"(9901136, 9308136)"
"(9910119, 9904216)"
"(9703113, 9603146)"
"(9407154, 9211079)"
"(9911094, 9309030)"
"(9707234, 2114)"
"(9904209, 9503181)"
"(9904064, 9411075)"
"(9512210, 9304008)"
"(9902149, 9805092)"
"(9901136, 9408171)"
"(9904104, 9401154)"
"(9905211, 9902126)"
"(9506163, 9404093)"
"(9701101, 9404186)"
"(9607234, 9603114)"
"(9601050, 9304008)"
"(9905038, 9511098)"
"(9610209, 9410121)"
"(9901023, 9607234)"
"(9912226, 9812217)"
"(9610083, 9603184)"
"(9704043, 9208047)"
"(9705161, 9309030)"
"(9307030, 9201056)"
"(9412143, 9405018)"
"(9707217, 9410159)"
"(9411158, 9310132)"
"(9910119, 9905039)"
"(9707148, 9211079)"
"(9803224, 9503227)"
"(9507052, 9306034)"
"(9701027, 9609106)"
"(9412143, 9404093)"
"(9512210, 9203036)"
"(9404081, 9206028)"
"(9609015, 9307078)"
"(9705161, 9412152)"
"(9707086, 9602039)"
"(9612111, 9208047)"
"(9908128, 9701047)"
"(9409166, 9203037)"
"(9905176, 9302109)"
"(9909114, 9809147)"
"(9701101, 9503181)"
"(9803073, 9410198)"
"(9405018, 9307030)"
"(9704082, 9410126)"
"(9902192, 9605089)"
"(9910091, 9806138)"
"(9808108, 9306079)"
"(9608057, 9606030)"
"(9705139, 9508045)"
"(9904209, 9404186)"
"(9910071, 9402107)"
"(9602117, 9403132)"
"(9608057, 9310083)"
