edges,label
"(9910040, 8028)",1
"(9303160, 11102)",1
"(9910135, 8092)",1
"(9910246, 208020)",1
"(9902005, 101114)",1
"(9504090, 111284)",1
"(9906081, 11041)",1
"(9604167, 10096)",1
"(12142, 5040)",1
"(9905111, 105039)",1
"(9904132, 102022)",1
"(9711162, 7215)",1
"(102164, 1144)",1
"(9905015, 10015)",1
"(9912268, 9007)",1
"(9910105, 9601029)",1
"(104227, 7209)",1
"(101212, 5185)",1
"(109025, 105049)",1
"(104124, 6047)",1
"(9910122, 8241)",1
"(9302110, 3047)",1
"(110064, 101176)",1
"(9805067, 110132)",1
"(9909047, 7200)",1
"(9603087, 4037)",1
"(9711162, 102076)",1
"(9306002, 5170)",1
"(9812193, 104054)",1
"(9510179, 10139)",1
"(9910053, 107142)",1
"(5242, 2211)",1
"(12231, 11230)",1
"(9510227, 5276)",1
"(12184, 6219)",1
"(112028, 111089)",1
"(9912230, 9911237)",1
"(9087, 9039)",1
"(9912227, 9905092)",1
"(9059, 4097)",1
"(9610140, 2159)",1
"(9605014, 9411132)",0
"(9912145, 9809162)",1
"(9806241, 6199)",1
"(9504046, 11294)",0
"(9711200, 5136)",1
"(9810065, 7183)",1
"(103062, 3287)",0
"(9191, 8231)",1
"(9808117, 112132)",1
"(12024, 3113)",1
"(9610043, 102157)",1
"(9311065, 12095)",1
"(9707009, 6148)",1
"(112085, 12221)",1
"(9603135, 7216)",1
"(9404054, 103164)",1
"(9906011, 5087)",1
"(9906194, 112117)",1
"(9711162, 110093)",1
"(9612115, 107178)",1
"(9504145, 10092)",1
"(9607161, 12219)",1
"(9903026, 3116)",1
"(9908006, 111060)",1
"(9902121, 2145)",1
"(9705159, 103121)",1
"(111013, 11197)",1
"(9911068, 103224)",1
"(10206, 7058)",1
"(9909013, 2044)",1
"(9803091, 12189)",1
"(9812021, 9712211)",1
"(107090, 10179)",1
"(107028, 3055)",1
"(110269, 4133)",1
"(9611042, 104050)",1
"(107161, 104003)",1
"(110250, 10183)",1
"(9810225, 9126)",1
"(9807164, 2199)",1
"(9508117, 8031)",1
"(9910001, 9901079)",1
"(108143, 5087)",1
"(8006, 1053)",1
"(9806027, 102072)",1
"(9907183, 5052)",1
"(110238, 12052)",1
"(106127, 5127)",1
"(9810159, 6110)",1
"(9310188, 108157)",1
"(9902052, 103231)",1
"(9603170, 109155)",1
"(9901057, 8080)",1
"(9706082, 6008)",1
"(9199, 8041)",1
"(9804085, 2189)",1
"(9608055, 9601070)",0
"(9912001, 2091)",1
"(5248, 3015)",0
"(108174, 2184)",1
"(9701125, 10122)",1
"(9233, 7255)",1
"(9604091, 5029)",1
"(10060, 2237)",1
"(107173, 106113)",1
"(111025, 106209)",1
"(9909095, 107185)",1
"(9711179, 3122)",1
"(108095, 103018)",1
"(9605088, 3124)",1
"(104112, 6085)",1
"(9711200, 109149)",1
"(9702106, 5262)",1
"(9812012, 5003)",1
"(9810126, 103219)",1
"(9909031, 4099)",1
"(106019, 11254)",1
"(106048, 11218)",1
"(9908187, 9406076)",1
"(9911087, 107110)",1
"(9705163, 105208)",1
"(9703030, 2009)",1
"(9911199, 4142)",1
"(106180, 12164)",1
"(11218, 2119)",1
"(101109, 10160)",1
"(9802163, 109112)",1
"(9910017, 9804170)",1
"(109031, 10153)",1
"(103193, 10205)",1
"(101151, 9138)",1
"(9902171, 7052)",1
"(9211021, 8062)",1
"(9904112, 7253)",1
"(104095, 102160)",1
"(12129, 9167)",1
"(9510097, 5246)",1
"(10218, 9103)",1
"(9610043, 6024)",1
"(108091, 11089)",1
"(3232, 1215)",1
"(9311148, 106146)",1
"(11166, 10271)",1
"(9310132, 110182)",1
"(9606043, 107016)",1
"(110034, 105019)",1
"(9711200, 101096)",1
"(9710233, 110156)",1
"(9904207, 105154)",1
"(9908072, 105208)",1
"(110152, 6085)",1
"(9212020, 11255)",1
"(9706047, 7170)",1
"(9803031, 107184)",1
"(110145, 10129)",1
"(9805148, 112233)",1
"(9510025, 103062)",0
"(9906087, 102094)",1
"(9706225, 109213)",1
"(9903205, 104043)",1
"(9611071, 6151)",1
"(9912175, 9807137)",1
"(8038, 2023)",1
"(9702203, 101126)",1
"(9909134, 9176)",1
"(9909072, 9908019)",1
"(9912001, 2160)",1
"(9204102, 2176)",1
"(112080, 11138)",1
"(111035, 107206)",1
"(9707134, 12230)",1
"(9501107, 4140)",1
"(12251, 7128)",0
"(9903217, 101084)",1
"(9906235, 9610207)",1
"(9802150, 7191)",1
"(9512077, 105176)",1
"(105262, 4158)",1
"(101016, 10122)",1
"(9711200, 6107)",1
"(110033, 3087)",1
"(9909101, 107119)",1
"(105296, 101138)",1
"(109168, 104181)",1
"(9612126, 2159)",1
"(9304033, 110249)",1
"(9905210, 5025)",1
"(1033, 1013)",1
"(9809179, 103230)",1
"(9909076, 7022)",1
"(9912249, 105054)",1
"(10004, 7029)",1
"(9702134, 104107)",1
"(9603167, 7087)",1
"(9711097, 102080)",1
"(9803031, 12218)",1
"(9302104, 10069)",1
"(9706175, 101038)",1
"(9407079, 7172)",0
"(9905206, 10100)",1
"(9311009, 110167)",1
"(9910124, 9811005)",1
"(111187, 10279)",1
"(9301047, 110262)",1
"(9706065, 110118)",1
"(9803235, 3256)",1
"(9303132, 8184)",0
"(107185, 9101)",1
"(9608157, 1121)",1
"(9911183, 9702076)",1
"(9711165, 110134)",1
"(9410193, 9804015)",0
"(9612204, 103188)",1
"(9503124, 112071)",1
"(9901063, 110021)",1
"(9801180, 8137)",1
"(9907070, 101212)",1
"(9811178, 3187)",1
"(9901080, 2075)",1
"(9804013, 11120)",1
"(102018, 6224)",1
"(102207, 3300)",1
"(11241, 3024)",1
"(9908150, 102155)",1
"(9904218, 11075)",1
"(9607235, 3132)",1
"(104173, 10016)",1
"(9607180, 12248)",0
"(9906144, 4109)",1
"(9912274, 9910138)",1
"(9510017, 106128)",1
"(9605170, 9089)",1
"(112100, 111027)",0
"(9902121, 11217)",1
"(9802150, 11166)",1
"(9906064, 112227)",1
"(12251, 6070)",0
"(9808139, 9089)",1
"(9911237, 8083)",1
"(9908186, 12129)",1
"(107101, 106036)",1
"(9705035, 2094)",1
"(9802061, 102010)",1
"(9506144, 104044)",1
"(105062, 104206)",1
"(9907077, 2140)",1
"(9908093, 111238)",1
"(9411099, 107116)",1
"(9906064, 110087)",1
"(9038, 5085)",1
"(6114, 5208)",1
"(9908160, 111222)",1
"(11102, 3262)",1
"(109021, 101152)",1
"(6186, 3178)",1
"(103115, 103011)",1
"(9502014, 3064)",1
"(1087, 104055)",0
"(9806194, 1063)",1
"(9612128, 103031)",1
"(111168, 11156)",1
"(9905011, 105164)",1
"(9912232, 1033)",1
"(9311055, 2169)",1
"(9509020, 11272)",1
"(9708074, 1089)",1
"(112100, 8158)",0
"(104141, 8140)",1
"(112071, 109147)",1
"(9809111, 11047)",1
"(9911153, 3007)",1
"(9903205, 11283)",1
"(9510086, 7031)",1
"(9510135, 110173)",1
"(9612128, 103163)",1
"(9910170, 1200)",1
"(9809022, 9203)",1
"(102183, 7175)",1
"(9610096, 1082)",0
"(9803076, 8128)",1
"(9812118, 11269)",1
"(9801205, 105039)",1
"(103011, 101206)",1
"(9910017, 9711200)",1
"(9806087, 1177)",1
"(9609026, 106201)",1
"(107185, 104146)",1
"(102032, 101164)",1
"(9912132, 9810206)",1
"(9902157, 106011)",1
"(110046, 105259)",1
"(9803117, 101084)",1
"(7140, 2186)",1
"(9604179, 4009)",1
"(103209, 11079)",1
"(9811048, 12222)",1
"(9506084, 7240)",1
"(9912133, 9611230)",1
"(11153, 3300)",1
"(9805019, 105204)",1
"(9912156, 9702076)",1
"(9905065, 108197)",1
"(9805069, 107031)",1
"(9303143, 102085)",1
"(9512181, 104031)",1
"(9208027, 105247)",1
"(9707224, 107060)",1
"(9211053, 107015)",1
"(9905212, 12050)",1
"(9603053, 109162)",1
"(9709002, 8249)",1
"(9228, 1133)",1
"(9811047, 107119)",1
"(9910132, 8190)",1
"(9409111, 108153)",1
"(9211011, 1090)",1
"(9701137, 4198)",1
"(9408144, 9201066)",0
"(9712186, 104126)",1
"(9912257, 6176)",1
"(103072, 1096)",1
"(8132, 2075)",1
"(9704151, 3263)",1
"(9611047, 7052)",1
"(9803031, 12200)",1
"(9708065, 101135)",1
"(105218, 7099)",1
"(105245, 9103)",1
"(9701125, 9189)",1
"(7050, 3007)",1
"(108013, 106067)",1
"(9805019, 105245)",1
"(103062, 10185)",0
"(9508068, 105023)",1
"(104009, 2091)",1
"(9802007, 11197)",1
"(9810126, 103153)",1
"(9910076, 2256)",1
"(107179, 111239)",0
"(9503124, 2200)",1
"(9810227, 11016)",1
"(9806217, 10077)",1
"(9512196, 3233)",1
"(112197, 108101)",1
"(11037, 2075)",1
"(9505035, 11093)",1
"(9806117, 107182)",1
"(9711201, 112065)",1
"(104026, 6048)",1
"(6007, 3052)",1
"(9910001, 9802173)",1
"(9912276, 106163)",1
"(9711035, 5256)",1
"(106191, 5224)",1
"(9907145, 1144)",1
"(112038, 1100)",1
"(107029, 104192)",1
"(9908186, 2076)",1
"(9609026, 12092)",1
"(108158, 6236)",1
"(9801118, 8249)",1
"(106180, 7247)",1
"(12139, 4179)",1
"(112089, 12069)",1
"(9306002, 102100)",1
"(7109, 6060)",1
"(102151, 3136)",1
"(9903187, 6160)",1
"(111199, 110099)",1
"(9607222, 2123)",0
"(9503209, 12128)",1
"(9611205, 6088)",1
"(9903205, 9030)",1
"(102147, 12013)",1
"(9605014, 9205117)",0
"(9711205, 102080)",1
"(9208027, 12150)",1
"(9802109, 102041)",1
"(9712073, 111106)",1
"(9204071, 9239)",1
"(9911153, 10040)",1
"(9908142, 101082)",1
"(9902040, 8058)",1
"(9905148, 103080)",1
"(9912208, 9811217)",1
"(9206084, 2211)",1
"(12027, 5060)",1
"(3205, 1016)",1
"(111025, 9089)",1
"(9503179, 7191)",1
"(103048, 2210)",1
"(9511043, 105174)",1
"(7128, 3019)",0
"(10102, 9188)",1
"(110122, 104143)",1
"(9802109, 3147)",1
"(9410193, 9201066)",0
"(9612148, 7141)",1
"(9911161, 112107)",1
"(9503030, 107090)",1
"(9908005, 5136)",1
"(9901122, 7141)",1
"(9908036, 101151)",1
"(9708086, 108075)",1
"(9803249, 3235)",1
"(9705088, 2034)",1
"(9903187, 3113)",1
"(9610234, 111150)",1
"(9908019, 5095)",1
"(11283, 7052)",1
"(9905149, 1094)",1
"(9018, 3056)",1
"(9304135, 105258)",1
"(9906182, 4003)",1
"(9803131, 12033)",1
"(9210127, 7090)",1
"(9907013, 2037)",1
"(9508102, 9401043)",0
"(103139, 12266)",1
"(9703128, 8158)",0
"(106108, 12196)",1
"(104133, 10275)",1
"(9705151, 104222)",1
"(9408141, 9303132)",0
"(107267, 106072)",1
"(9502010, 111141)",1
"(6045, 6029)",1
"(9905006, 4198)",1
"(9201066, 11294)",0
"(9908023, 107128)",1
"(9810252, 9410193)",0
"(101118, 8016)",1
"(9610026, 9174)",1
"(9903077, 4183)",1
"(9013, 3228)",1
"(9902105, 109187)",1
"(110108, 102077)",1
"(9904063, 10194)",1
"(102113, 101073)",1
"(9906064, 104113)",1
"(12200, 3113)",1
"(6225, 6085)",1
"(9711165, 7155)",1
"(9511112, 110240)",1
"(12143, 2174)",1
"(9605178, 5076)",1
"(9911137, 104021)",1
"(106048, 3216)",1
"(102085, 8033)",1
"(106201, 12081)",1
"(9608121, 102173)",0
"(109140, 7029)",1
"(110108, 110048)",1
"(107172, 8205)",1
"(9709091, 3005)",1
"(110273, 11225)",1
"(9805034, 104190)",1
"(9605130, 12148)",0
"(110085, 7191)",1
"(9911165, 102035)",1
"(9909047, 2172)",1
"(103012, 6119)",1
"(9507020, 9223)",1
"(9505186, 12075)",1
"(9912124, 11222)",1
"(11160, 1033)",1
"(9912280, 103028)",1
"(108132, 5016)",1
"(9907055, 101039)",1
"(111036, 106062)",1
"(109054, 106067)",1
"(9708001, 10189)",1
"(9909147, 107247)",1
"(9705074, 111284)",1
"(9601038, 101096)",1
"(9612128, 7067)",1
"(9711162, 101081)",1
"(9910053, 8091)",1
"(9701037, 103123)",1
"(112040, 109063)",1
"(9912207, 9303012)",1
"(10206, 3075)",1
"(9507022, 101043)",1
"(102188, 102137)",1
"(105054, 7077)",0
"(10205, 7064)",1
"(9908023, 6033)",1
"(9711162, 103101)",1
"(9706066, 7172)",1
"(9905111, 3076)",1
"(9802150, 110265)",1
"(9809057, 2031)",1
"(6093, 1113)",1
"(9209003, 106016)",1
"(9611050, 106235)",1
"(12211, 5029)",1
"(9804190, 8096)",1
"(9911147, 5021)",1
"(9506079, 9200)",1
"(7171, 5244)",1
"(9907066, 7184)",1
"(6209, 4183)",1
"(9310115, 2247)",1
"(8184, 105178)",0
"(107098, 10028)",1
"(9911096, 101020)",1
"(9907189, 112084)",1
"(9712201, 3234)",1
"(9709047, 3268)",1
"(107033, 3160)",1
"(9704002, 109130)",1
"(107140, 9202)",1
"(9906056, 1204)",1
"(9810155, 106127)",1
"(8194, 3187)",1
"(9905111, 101006)",1
"(9803077, 4142)",1
"(9907041, 1001)",1
"(9501068, 10270)",1
"(9712185, 112081)",1
"(12266, 7043)",1
"(9803263, 3205)",1
"(9510017, 7157)",1
"(9405030, 109115)",1
"(9903107, 105094)",1
"(9802047, 8164)",1
"(104264, 12266)",1
"(9608121, 9910105)",0
"(9809111, 3122)",1
"(9909053, 4005)",1
"(101038, 5239)",1
"(107001, 9219)",1
"(107057, 8081)",1
"(9802164, 3208)",1
"(9907072, 110218)",1
"(107057, 11060)",1
"(103265, 1107)",1
"(109045, 8231)",1
"(9603087, 109193)",1
"(9904017, 11141)",1
"(9807153, 106287)",1
"(9606040, 10269)",1
"(9013, 4088)",1
"(9408074, 9242)",1
"(9712017, 112233)",1
"(110204, 105058)",1
"(9509161, 1103)",1
"(9710116, 101080)",1
"(9309128, 8096)",1
